term,definition
Papilla,Szemölcs
papilla duodeni,Vater-papilla
papilla fungiformis,gombaalakú papillák
papilla mammae,emlőbimbó
papilla nervi optici,látóidegfő
papilla pili,hajszemölcs
papillae duodeni major,Vater-szemölcs
papillae linguae,szemölcsök a nyelven
papillaris,szemölcsös
papilloedema,látóidegfő-vizenyő
papilloma,szemölcsdaganat
papula,"a bőr foltszerű, kiemelkedő elváltozása"
papulosus,bőrgöbös
para-,mellett-
paraaorticus,aorta melletti
parabulia,akaratzavar
Paradontium,Fogágy
paradontosis,fogágybetegség
paraesthesia,álérzékelés
Paraglossia,Nyelvduzzanat
paralogia,értelmetlen beszéd
paralysis,bénulás
Paralysis deglutitionis,Nyelésbénulás
paralysis infantum,gyermekbénulás
paralyticus,"bénulásos, béna"
paramedialis,középvonal melletti
paranasalis,orr melletti
paraneoplasia,paraneoplázia
paraneoplasticus,paraneopláziával kapcsolatos
paranoid,paranoiaszerű
parapertussis,szamárköhögéshes hasonló betegség
paraplegia,paraplégia
parasitus,"élősdi, parazita"
parasympathicus,paraszimpatikus
parathyroidea,mellékpajzsmirigy
paratrachealis,gége melletti
paravertebralis,csigolya melletti
Parcialis,Részleges
parenchyma renalis,veseszövet
paresis,részleges bénulás
paresis facialis,arcbénulás
paresthesis,zsibbadás
paries,fal
paries abdominalis,hasfal
Paries etis,Fal
paries thoracis,mellkasfal
parietalis,falhoz tartozó
parodontitis,fogágygyulladás
parodontopathia,fogágybetegség
parosmia,Parosmia
parosmia,szaglási zavar
parótis,fültőmirigygyel kapcsolatos
parotitis,fültőmirigy-gyulladás
parotitis epidemica,"járványos fültőmirigy-gyulladás, mumpsz"
pars,adag
pars ampullaris recti,a végbél tág szakasza
pars basilaris,alapi rész
pars laryngea,garat gégei szakasza
pars laryngea pharyngis,gégegarat
pars medialis spermatis,spermium középső része
pars nasalis,garat orri szakasza
pars oralis,garat száji szakasza
pars orbitalis,szemüregi rész
pars petrosa,sziklacsonti rész
pars spongoisa urethrae,húgycsövet körülvevő barlangos test
pars squamosa,pikkelyrész
pars tympanica,dobüregi rész
partes laterales,oldalsó részek
parthenogenesis,szűznemzés
partialis,részleges
particulum,részecske
partim,részben
parturiens,nő szülésben
parturitio,vajúdás
partus,szülés
partus praematurus,koraszülés
parvus,"Kis, kicsi"
pasta dentalis,fogkrém
pastilli e natrio hydro-carbonico,két-szénsavas szikenyes cukorkorongok
patella,térdkalács
patellofemoralis,térd-combcsonti
pater,apa
pathia,Bántalom
pathogen,kórokozó
paulum,kevés
pavor,félelem
pavor nocturnus,éjszakai felriadások
pecten,taréj
pecten ossis pubis,szeméremfésű
pectinatus,fésűs
pectinéus,fésűsizom
pectoralis,mellkasi
pectus,mellkas
pectus carinatum,tyúkmell
pectus excavatum,"tölcsérmell, susztermellkas"
pectus gallinatum,"hajómell, tyúkmell"
Pectus oris,Mell
pectus recurvatum,tölcsérmell
pedes plani,"lapos talpak, lúdtalp"
pediculosis,emberi tetvesség
pedículus,tetű
pedo-,láb-
peduculus cerebri,agykocsány
peduculus pubis,lapostetű
pedunculatus,nyeles
pedunculatus,"nyéllel ellátott, kocsányos"
pedunculi cerebelli,kisagykocsányok
pedunculus,"kocsány, nyél"
pedunculus cerebellaris inferior,alsó kisagykocsány
pedunculus cerebellaris medius,középső kisagykocsány
pedunculus cerebelli,kisagykocsány
pedunculus cerebri,agykocsány
pellicula,vékony hártya
pellucidum,átlátszó
pellucidum,átlátható
pelveopathia,medencebántalom
pelveopathia,medencebetegség
pelveoperitonitis,medencei hashártyagyulladás
pelvinus,medencével kapcsolatos
pelvis,medence
Pelvis is,medence
pelvis major,nagymedence
pelvis minor,kismedence
pelvis renalis,vesemedence
pendulus,"fityegő, függő"
penetratio,behatolás
penis,hímvessző
penna,"szárnyszerű nyúlvány, szárny"
pepsinum,"fehérjebontó enzim, emésznye"
pepticus,peptikus
per os,szájon keresztül
per primam intentionem,elsődleges sebgyógyulás
per secundam intentionem,másodlagos sebgyógyulás
per tertiam intentionem,harmadlagos sebgyógyulás
peracutus,"nagyon heveny, éles (pl. fájdalom)"
perfectus,tökéletes
perforans,átfúró
perforatio intestini,bélátfúródás
perfusio renalis,vese-átáramoltatás
peri-,körül
periarticularis,izület körüli
pericarditis,szívburokgyulladás
pericardium,szívburok
pericoronaritis,fogkorona körüli gyulladás
periculosus,veszélyes
periculum,veszély
Peridontium,Gyökérhártya
perifocalis,góc körüli
perifocalis,perifokális
perihilaris,hilus körüli
Perimetrium,A méh hashártyai borítéka
perimysium,izom kötőszövetes burka
perimysium internum,perimysium
perinatalis,születés körüli
perineal muscles,gátizmok
perineotomia,gátmetszés
Perineum,Gát
perineuralis,idegcsoport körüli
periosteum,csonthártya
periostitis,csonthártyagyulladás
peripharyngeus,garat körül
periphericus,"kerületi, perifériás, valami körüli"
perirectalis,végbélnyílás körüli
peristalsis,bélmozgás
peritonaeum,hashártya
peritonealis,hashártyás
peritonealis,hashártyával kapcsolatos
peritoneo-,hashártya-
perivascularis,ér körüli
permagnus,nagyon nagy
permanens,maradandó
permeabilitas,"áteresztőképesség, átjárhatóság"
perniciosus,vészes
perniosis,fagydaganat
perone,lábszárcsont
peroneusok,szárkapcsi izmok
perpendiculáris,függőleges
persona,személy
personae,személyek
personalitas,személyiség
personopathia,személyiségzavar
pertussis,szamárköhögés
pes anserinus,lúdláb
pes equinovarus,Dongaláb (pes equinovarus)
pes equinus,lóláb
Pes pedis,láb
pes varus,donga láb
pessimus,legrosszabb
petechiae,vérzéses kiütés
petiolus epiglottidis,gégefedőnyél
petroleum rectificatum,tisztított kőolaj
petrosus,sziklához hasonló
phaco-,szemlencse-
phaenomena genetica,genetikai jelenségek
phaeochromocytoma,feochromocytóma
phagocyti,falósejtek
phagocytosis,fagocitózis
phagocytosis,sejtfalás
phagocytus,falósejt
phalangealis,ujjpercel kapcsolatos
phalanges digitorum,ujjpercek
phalanx,ujjperc
phalanx distalis,alsó ujjperccsont
phalanx media,középső ujjperccsont
phalanx proximalis,felső ujjperccsont
phallitis,hímvesszőgyulladás
phallus,hímvessző
phantasia,fantázia
pharinx,garat
Pharm(ac),Gyógyszer
pharmacon,gyógyszer
pharmacopoea,gyógyszerkönyv
pharmacotherapia,farmakoterápia
pharmacotherapia,gyógyszeres kezelés
Pharyng-,Garat
pharyngealis,garattal kapcsolatos
pharyngeus,garathoz tartozó
pharyngitis,garatgyulladás
pharynx,garat
phellandrium,bösövény
philtrum,ajakbarázda
philtrum,felső ajak függőleges barázdája
phimosis,fitymaszűkület
phlebitis,visszérgyulladás
phlebolith,érkő
phlebostasis,vénás pangás
phlebothrombosis,vénás trombózis
phlebotomia,"véna elvágása, vérvétel"
phlegmasia,gyulladás
phlogisticus,gyulladásos
phobia,"félelem, fóbia, iszony"
phocomelia,fókalábúság
phono-,hang-
phor,hordani
phoria,közérzet
phoro,hordani
phosphorus,foszfor
photoreceptori,fotoreceptorok
phrenicus,rekeszizommal kapcsolatos
phrénicus,rekeszizommal kapcsolatos
phrenitis,rekeszizom-gyulladás
phtisis,tuberkulózis
phylogenesis,származás
pia mater,lágy agyhártya
pigmentatio,festékanyag-képződés
pigmentum,festékanyag
pigmentum cutis,bőrfesték
pigmentum cutis,bőrpigment
pili,"hajszál, szőrszál, szőrzet"
piloerectio,szőrszál felállás
pilonidalis,pilonidális
pilosus,szőrös
pilula,pirula
pilulae ferri iodati,vasiblacsos labdacsok
pilulae laxantes,hashajtó labdacsok
pilus,haj
pilus capitis,haj
pinea,toboz
pinealis,tobozmirigyhez tartozó
pirexia,láz
pisiformis,borsószerű
pisum,borsó
pitvar,"a szív négy üregéből azon kettő, amely az ""elhasználódott"", oxigénben szegény vért fogadja be a szívbe"
pitvarfibrilláció,"a két pitvar kontrollálatlan és nagyon gyors összehúzódása, ami már érdemi véráramlást nem eredményez"
pitvari sövényhiány,"a két pitvart egymástól elválasztó izmos fal ""lukas"""
pitvari szeptumdefektus,lásd pitvari sövényhiány
pitvarkamrai csomó,"a szív ingerületvezető rendszerének fontos eleme, a pitvarok és a kamrák közötti ingerületátvitelt szabályozza"
pityriasis alba,Pityriasis alba
pityriasis rosea,Pityriasis rosea
pityriasis versicolor,pityriasis versicolor
pityron,fejkorpa
pius,lágy
pix,kátrány
pix liquida,kátrány
placenta,méhlepény (a méhen belüli életben a magzat anyagcseréjét biztosító szerv)
placenta accreta,méhfalhoz nőtt méhlepény
placenta adherens,tapadó méhlepény
placenta bilobata,kétkaréjos méhlepény
placenta diffusa,hártyaszerű méhlepény
placenta foetalis,magzati méhlepény
placenta materna,anyai méhlepény
placenta membranacea,hártyaszerű méhlepény
placenta multilobata,többkaréjos méhlepény
placenta praevia,elöl tapadt méhlepény
placenta praevia,előlfekvő lepény
placenta succenturiata,melléklepény
planocellulare,laphámmal kapcsolatos
planta,"kizárólagos, talp"
plantae,növények
plantalgia,talpfájás
plantaris,talpi
plantarreflex,Babinski-reflex
planum,"sík, felület, terület, arc"
"planum sagittale, planum paramedianum",középsík melletti sík
planum supracristale,supracristalis sík
planum transpyloricum,transpyloricus sík
planum transversospinale,transversospinalis sík
planus,sík
plaque,"kiemelkedő folt, plakk"
plasma,"testnedv, sejtnedv, vér sejtmentes része"
plasma sanguis,vérplazma
platy-,lapos-
platycephalia,laposfejűség
platyrhinia,nyeregorr
platysma,bőrizom
plegia,Bénulás
ples planus,lúdtalp
plethora,vérbőség
pleura,mellhártya
pleura cervicalis,mellhártya felső része
pleura costalis,bordai mellhártya
pleura diaphragmatica,rekeszizomhoz érő mellhártya
pleura parietalis,mellhártya fali lemeze
pleura pericardica,szívburki mellhártya
pleura visceralis,mellhártya zsigeri lemeze
pleuracallus,mellhártyakeményedés
pleuralgia,mellhártyafájdalom
pleuralis,mellhártyához tartozó
pleuritis,mellhártyagyulladás
plexiformis,fonatszerű
plexus,fonat
plexus autonomicus viscerale,prevertebrális plexus-képződmények
plexus brachialis,karfonat
plexus cardiacus,szívfonat
plexus choroideus,plexus chorioideus
plexus coeliacus,hasüregi vegetatív idegfonat
plexus coeliacus,plexus solaris
plexus intermesentericus,plexus aorticus abdominalis
plexus lumbalis,ágyéki idegfonat
plexus lumbosacralis,ágyéki-keresztcsonti fonat
plexus myentericus,Auerbach-fonat
plexus nervorum,idegfonat
plexus nervosus,degfonat
plexus sacralis autonomus,autonóm keresztfonat
plexus solaris,hasi fonat
plexus uterovaginalis,plexus uterovaginalis
plica,redő
plica axillaris,hónaljredő
plica vocalis,hangredő
plicae vocales,hangszálak
plicatus,"ráncos, redőzött"
plumbum aceticum basicum solutum,oldott aljas ecetsavas ólom
plumbum aceticum depuratum,tisztitott ecetsavas ólom
plumbum aceticum solutum,oldott ecetsavas ólom
plumbum carbonicum,szénsavas ólom
plumbum hyperoxydatum rubrum,veres ólomfeléleg
plumbum oxydatum,óloméleg
pluralis,többszörös
pneuma,levegő
pneumaticus,légzéshez tartozó
pneumaticus,légtartalmú
pneumo-,gáz-
pneumo-,levegő-
Pneumo(n),Tüdő
pneumoconiosis,pneumoconiosis
pneumologia,tüdőtan
pneumonectomia,tüdőcsonkolás
Pneumonia,Tüdőgyulladás
pneumonitis,tüdőgyulladás
pneumonopathia,tüdőbetegség
pneumopathia,tüdőbetegség
pneumopericarditis,tüdő és szívburokgyulladás
pneumoperitoneum,léghas
pneumothorax,légmell
Pnoe-,Légzés
pod-,láb-
podo-,láb-
podocyti,podocyták
podogramm,talplenyomat
poesis,képzés
polaris,pólusos
polio-,szürkeállomány-
poliomyelitis,járványos gyerekbénulás
poliomyelitis anterior acuta,gyermekbénulás
poliomyelitis anterior acuta,járványos gyerekbénulás
poliomyelitis anterior acuta,járványos gyermekbénulás
Pollenosis,Szénanátha (virágpor okozta)
pollex,hüvelykujj
polocyta,nem teljes értékű sarki test
polus,tengelyvég
poly-,sok
polyarthritis,sokízületi-gyulladás
polycystic kidney,sokcisztás vesebaj
polycysticus,sok cisztából álló
polycythaemia,sok vörösvérsejt a vérben
polydactilia,szám feletti ujj a kézen
polydiscopathia,sok porckorong betegsége
polyhydramnion,túl sok magzatvíz
polymorph,sokformájú
polymyalgia rheumatica,Polymyalgia rheumatica
polyneuritis,sok ideg gyulladása
polyneuropathia,sok idegbetegség
polypectomia,polip sebészeti eltávolítása
polypnoe,lihegés
polypus,"nyálkahártyadaganat, polip"
polypus cholecystae,epehólyag polip
polyradiculitis,Guillain-Barré syndroma
polysegmentalis,polysegmentális
polyspermia,több hímivarsejt bejutása
Polyuria,Sok vizelet
pomum,alma
pomum Adami,"ádámcsutka, gégefő"
pons,híd
pons varoli,Varol-híd
poplitealis,térdhajlati
popliteus,térdhajlati
Populus,nyárfa
porosus,lyukakkal átszőtt
poroticus,pórusos
porphyria cutanea tarda,porphyria cutanea tarda
porta,kapu
porta hepatis,májkapu
porta herniae,sérvkapu
portalis,kapuban levő
portio,adag
porus acusticus externus,külső hallónyílás
porus sudoriferus,verejtéknyílás
positio,helyzet
posologia,gyógyszer-adagolástan
post-,mögött
post meridiem,délutáni
postcentralis,központ mögötti
postclavicularis,kulcscsont utáni
posterior,hátsó
posthio-,fityma-
postinfectiosus,fertőzés utáni
postoperativus,műtét utáni
"post-polio syndrome, PPS, postpoliomyelitis",poszt-polio szindróma
poststenoticus,szűkület mögötti
posttraumaticus,baleset végett bekövetkezett
posturalis,posturális
potentia,képesség
potentia generandi,nemzőképesség
potio magnesiae citricae effervescens,pezsgő citromsavas kesereny-oldat
prae-,előtti
praeauricularis,fül előtti
praecentralis,központ előtti
praecox,elején
praematuritas,"éretlenség, koraszülöttség"
praemolaris,őrlőfog-előtti
Praeparatum genericum,generikum
praeputium,fityma
praeputium clitoridis,csikló fitymája
praesacralis,keresztcsont előtti
praeter,"kívül, mellett"
praevalentia,meghatározott betegségben szenvedő egyének aránya
praeventivus,"óvó, elhárító, betegség megelőzésére irányuló"
praxis,művelet végrehajtása
pre,előtt
precollapsus,ájulás előtti állapot
prelum abdominale,hasprés
prenatális,megszületés előtti (időben)
preputium,fityma
presbyopia,öregszeműség
pressor,nyomó
prevalens,gyakran előforduló
priapismus,állandósult merevedés
priliehajúce spojenia,tapadó érintkezések
primarius,"közvetlen, elsődleges"
primer bronchus,főhörgő
primitivus,"kezdetleges, ősi"
primordialis,kezdetleges
primum,egy
primus,"első, egy, fő"
principialis,fő
pro re nata,szükség szerint
processus,nyúlvány
processus abacterialis,abakteriális folyamat
processus alveolaris,fogmedri nyúlvány
processus articularis,ízületi nyúlvány
processus coagulationis,véralvadási folyamat
processus coracoideus,hollócsőrnyúlvány
processus costarius,bordacsökevény
processus frontalis,homloknyúlvány
processus genetici,genetikai eljárások
processus mastoideus,csecsnyúlvány
processus palatinus,szájpadnyúlvány
processus pterygoideus,az ékcsont röpnyúlványa
processus spinosus,csigolya-tövisnyúlvány
processus styloideus,csonttövis
processus styloideus radii,orsócsonti nyúlvány
processus styloideus ulnae,singcsonti nyúlvány
processus transversus,harántnyúlvány
processus uncinatus,kampónyúlvány
processus vermicularis,féregnyúlvány
processus xiphoideus,szegycsont kardnyúlványa
processus zygomaticus,járomnyujtvány
procidentia,prolapsus
procognitio,előérzet
proctitis,végbélgyulladás
proctitis ulcerativa,ulkuszos proktítisz
proctocolitis,végbél és vastagbélgyulladás
proctodeum,végbél alsó része
proctorrhagia,végbélvérzés
proctospasmus,végbélgörcs
prodromum,a betegség előjele
"productio salivae, salivatio, sialogenesis",nyáltermelés
profundus,Mély (fundus)
profusio,ömlés
progenesis,ivarsejtek kialakulása
progenia,"állkapocs-előreugrás, előre harapás"
progeszteron,sárgatest hormon
prognathia,állkapocs-előreugrás
prognosis,kórjóslat
progressivus,előrehaladó
prolapsus,süllyedés
prolapsus ani,végbélelőesés
prolapsus uteri,méhelőesés
prolapsus valvulae bicuspidalis,kéthegyű szívbillentyű előesése
prolatio,dilatáció
proliferatio,"szövetszaporodás, sejtburjánzás"
prominens,kiálló
prominéntia,linea terminalis keresztcsonti része
prominentia laryngea,"ádámcsutka, gégefő"
promontorium,"linea terminalis keresztcsonti része, kiemelkedés"
pronatio,befelé dőlt
pronephros,elővese
prophylacticus,megelőzés
propter hoc,ez végett
Proptosis,"előreesés, szemkidülledés"
prosencephalon,előagy
Prostata,"Dülmirigy, prosztata"
prostaticus,prosztatával kapcsolatos
prostatitis,prosztata gyulladása
proteinum,fehérjék
prothesis,műfogsor
prothrombinum,protrombin
proto-,sorozatban az első
protozoa,egysejtű
protrusio,kidülledés
Protrusio bulbi,előreesés
protrusio disci,porckorong kidülledés
protrusio medialis,mediális protrúzió
protuberantia,kiemelkedés
protuberantia occipitalis externa,külső nyakszirti gumó
proventriculus,begy
proximalis,"közelebbi, a testhez közelebbi"
proximalis epiphysis,törzshöz közelebbi végrész
pruriginosus,viszkető
pruritus vulvae,viszkető külső női nemi szervek
Pseud-,"Ál, hamis"
pseudo,FALSE
pseudocystis,álciszta
pseudoicterus,álsárgaság
psoa,ágyék
Psoas,Ágyék
psoriasis,pikkelysömör
psychomotoricus,pszichomotorikus
psychosis,elmebaj
pterygoidéus,szárny alakú
ptialo-,nyál-
ptilosis,szempillahullás
ptoe,Köpés
ptoticus,lesüllyedt
ptyalismus,nyálcsorgás
ptyalismus,nyálfolyás
Ptyalismus (sialosis),Nyálmirigy-túlműködés
pubertas,nemi érés
pubertas praecox,idő előtti pubertás
pubertas tarda,késői serdülés
pubes,szeméremszőrzet
pubicus,szeméremtájéki
pudéndum,szeméremszőrzet
pudéndum,szeméremtájék
puella,leány
puer,gyermek
puerperium,gyermekágy
pulex,bolha
pulicosis,bolhacsípés
pulmo,tüdő
pulmonális,tüdővel kapcsolatos
Pulpa,Fogbél
Pulpa dentis,Fogbél
pulpitis,fogbélgyulladás
pulposus,lágy
pulsus,pulzus
pulsus acceleratus,akceleráló pulzus
pulzoximéter,a vér oxigénszaturációját mérő készülék (lásd oxigénszaturáció)
punctatus,pontozott
punctio,csapolás
punctum,szúrt
punctum fixum,izom eredése
punctum maximum,tetőpont
punctum mobile,izom tapadása
pupilla,pupilla
puriformis,gennyszerű
purissimus,legtisztább
puronium,genny
purpura,foltok a bőrön
purulens,gennyes
purulentus,gennyes
purus,tiszta
pus,genny
pustula,"a bőr gyulladásos elváltozása (pl. pattanás), fakadék"
putamen,héj
Py-,Genny
pyaemia,gennyvérűség
pyel,vesemedence-
pyelectasia,vesemedencetágulás
pyelitis,vesemedence-gyulladás
pyelo,vesemedence-
pyelogram,vesemedence ábrázolás
Pyelon,vesemedence
pyemesis,gennyhányás
pyloricus,gyomornyíláshoz tartozó
pylorus,gyomorzár
pyoformis,gennyszerű
pyogenes,genny eredetű
pyogenesis,gennyképződés
pyohaemothorax,genny és vér a mellkasüregben
pyorrhoea,gennyfolyás
pyosalpinx,genny felgyülemlése a petevezetékben
pyothorax,gennymell
Pyramides renales,vesepiramisok
pyramis,piramis
pyrmides renales,vesepiramisok
pyrosis,gyomorégés
pyuria,gennyvizelés
q.d.,egyszer naponta
q.h.,óránkénti
q.i.d.,napi 4x
Quadrans,rész
Quadriceps cipitis,Négyfejű
quantum satis,amennyi elegendő
quantum sufficit,amennyi szükséges
quaque,minden
quaque die,egyszer naponta
quaque hora,óránkénti
quietas,csend
rachi-,gerinchez tartozó
rachialgia,gerincfájdalom
rachikele,gerincsérv
rachitis,angolkór
Radi-,Sugár
radialis,orsócsonti
radiális,sugárirányú
radiatio,kisugárzás
radices nervorum spinalium,gerincvelő ideggyökök
radicularis,gyökérrel kapcsolatos
radicularis sejtek,gyökérsejtek
radiculitis,ideggyök-gyulladás
radiculopathia,ideggyökér-bántalom
radii,orsócsonttal kapcsolatos
radiologus,röntgenszakorvos
radiopathologia,sugárkórtan
radius,"sugár, orsócsont"
Radix,Gyökér
radix dentis,foggyökér
Radix icis,Gyökér
radix linguae,nyelvgyök
radix nasi,orrgyök
radix nervi,ideggyökér
radix penis,pénisztő
radix pulmonis,tüdőgyökér
Radix unguis,körömtő
rami bronchales,nagyés kishörgők
ramificatio,elágazódás
ramus,ág
raphe,csontvarrat
raptus,dühkitörés
re-,"Vissza, újra"
reabsorptio,visszaszívódás
recens,friss
receptaculum,tartó
receptor,receptor
receptori sensorici,érzékelő receptorok
recessus,bemélyedés
recidivus,kiújuló
reclinatio,hátraesés
rectalis,a végbélhez tartozó
recto-,végbél-
rectouterinus,végbéllel és méhhel kapcsolatos
rectum,végbél
rectus,"azonnal, egyenes, nyíltan"
recurrens,felújuló
reductio functionis renis,veseműködés-csökkenés
reflexus,behajlított
refluxio acida,gyomosav-reflux
refractarius,makacs
regeneratio,megújulás
Regio,"Terület, tájék (regionalis)"
regio colli,nyak-régió
regio lumbosacralis,derék-keresztcsonti terület
regio olfactoria,szaglóhám
regio respiratoria,légzőtájék
regio sacrococcygealis,keresztcsont-farokcsonti terület
regiones corporis,testrészek
regressio,visszafejlődés
regularis,szabályos
regulatio,szabályozás
regurgitatio,öklendezés
reiectio,átültetett szövet kilökődése
reinfectio,újrafertőzés
relapsus,visszaesés
relapszus,"krónikus betegség visszatérése, fellángolása"
relaxatio,elernyedés
remedium,gyógyszer
remisszió,krónikus betegésgnek a tünetmentes szakasa
remittens,ingadozó
remodellatio,átalakítás
ren,vese
ren arcuatus,patkóvese
ren cirrhoticus,zsugorvese
ren succenturiatus,mellékvese
reniformis,vese alakú
renis,vesével kapcsolatos
renocellulare,vesesejtekből eredő
reparatio,javítás
Resectio,Gyökércsúcs eltávolítás
Respiratorius,légzési
respiro,légzés
respitatorius,légző
restrictivus,megszorító
resultatum,eredmény
resuscitatio,újraélesztés
retardatio mentalis,szellemi fejletlenség
rete,háló
rete testis,hererece
rete vasculosum,érhálózat
retentio,retenció
Retentio dentis,Fogvisszamaradás
reticularis,háló alakú
retículum,retikulum
reticulum nervosum,idegháló
reticulum sarcoplasmaticum,harántcsíkolt izomrost
reticulum trabeculare,gerendázatos hálózat
retina,a szem belső felszínének fényérzékeny rétege
retinaculum,tartószalag
retractio,behúzódás
retro-,"Mögött, visszafelé"
retrocaecalis,vakbél-mögötti
retromammillaris,emlő vagy mellbimbó mögötti
retropharyngealis,garat mögötti
retrosternalis,szegycsont mögötti
retrotonsillaris,mandula-mögötti
rheumatismus,reuma
rhinitis acuta,nátha
rhombencephalon,utóagyhólyag
Rhomboideus,Rombusz alakú
rigidus,nem hajlítható
rigor,merevség
rima,hasadás
rima glottidis,hangrés
rima oris,ajakrés
rima pudendi,szeméremrés
risorius,nevető
risus,nevetés
Rotatio,Forgatás
rotator,forgató
rotundus,kerek
röntgen,"vizsgálati eljárás, melynek során nagyenergiájú sugárzás segítségével a szervezet csontjairól és bizonyos szerveiről ""fényképet"" készíthetünk"
rrhagia,Vérzés
rrhaphia,"sebészeti varrás, varrat"
rubeola,"kanyaró, rózsahimlő"
rúbor,szégyen
truncus encephali,agytörzs
rubor labiorum,ajakpír
rubrum,vörös
rudimentaer,elcsökevényesedett
ruga,ránc
ruptilis,törékeny
ruptio,beszakadás
ruptura,beszakadás
ruptura intestini,bélrepedés
"ruptura musculi, myorrhexis",izomszakadás
ruptura renalis,veseberepedés
ruptura uteri,méhrepedés
rupturae,szétrepedések
ruptus,beszakadt
Rx,"recept, vény"
saccatus,eltokolt
saccharida,szénhidrátok
saccharo-,cukor
saccharum,cukor
saccharum lactis,tejcukor
sacci cervicales,nyaki légzsákok
sacci praethoracales,elülső mellkasi légzsákok
sacculus,végzsák
saccus aeralis,légzsák
saccus alveolaris,tüdőhólyagzsák
saccus interclavicularis,kulcscsonti légzsák
saccus vitellinus,szíkhólyag
Sacer,Szent (os sacrum - keresztcsont)
sacralis,keresztcsonti
sacrococcygeus,kereszt- és farokcsonti
sacrodynia,kereszcsontfájdalom
sacroiliacalis,kereszt és csípőcsonttal kapcsolatos
sacroiliitis,szakroilitisz
sacrum,keresztes
sacrum acutum,heveny keresztcsont
saepe,gyakori
Sagittalis,"Nyílirányú (sagitta ae, f - nyíl), Elölről hátrafelé irányuló"
salivaris,nyálhoz tartozó
Salmonella,szalmonella
salpingitis,petevezeték gyulladás
salpinx,kürt
salpinx uterina,petevezeték
sanatio,gyógyulás
sanatio vulneris,sebgyógyulás
sanatio vulneris per primam intentionem,elsődleges sebgyógyulás
sanatus,begyógyult
sanguiferus,vérvivő
sanguis,vér
sanguis fetalis,magzati vér
Saphenus,Rejtett
sarcolemma,izomrost burok
sarcolemma,izomrost hártyája
sarcoma,húsdaganat
Sartorius,Szabó-
saturatio,telítettség
saturnismus,ólommérgezés
scabies,Rühesség (scabies)
scala anterior,elülső koponyagödör
scala media,középső koponyagödör
scala posterior,hátsó koponyagödör
scalenus,ferde
scapha,barázda a fülkagylón
scaphoideus,sajkacsont
scapula,lapocka
scapuláris,lapockával kapcsolatos
scarlatina,"Vörheny (scarlatina), skarlát"
scatoscopia,székletvizsgálat
sceletum,csontváz
Schistosomiasis,Schistosoma-fertőzés
schizo-,hasadt-
schizophrenia,tudathasadásos elmezavar
Schoenlein-Henoch purpura,Schönlein-Henoch purpura
scissura,"árok, barázda, repedés"
sclera,a szem (látható) fehér része
scleritis,ínhártyagyulladás
scleroderma circumscripta,foltos scleroderma
scleroderma diffusa,"szisztémás scleroderma, generalizált scleroderma"
sclerosis multiplex,központi idegrendszerben jelentkező autoimmun betegség
sclerosis tuberosa,Göbös agykeményedés (sclerosis tuberosa)
scleroticus,kemény
scolex,galandféreg feje
scoliosis,"gerincoszlop oldalirányú görbülete, gerincferdülés"
scop,Tükrös vizsgálóeszköz
scorbut,skorbut
scotoma,látótérkiesés
scrotum,herezacskó
Sculptio,Fogvésés
scutiformis,pajzs alakú
scybalum,székletrög
sebaceus,faggyús
sébum,viasz
secretio,kiválasztás
secretorius,kibocsájtó
secretum,váladék
secretum pancreaticum,pankreász-szekrétum
Sectio,"Vágás, metszés, metszet"
sectio caesarea,császármetszés
sectio perinealis,gátmetszés a hüvelyen keresztül
secundum,valami alapján
segmentum,gerezd
selenium,szelén
Sella,"Szék, nyereg"
Semen,"Mag, ondó"
semi-,fél-
semicirculus,félkör
Semilunaris,Félhold alakú
seminalis,ondóhoz tartozó
semiovalis,féltojásdad
semispinalis,féltövises
Semitendinosus,féliginas
semper,mindig
senega,szenega
senescentia,öregedés
senilis,aggkori
senilitas,"Szenilitás, időskori butulás"
senium,öregkor
senna,szenna-levelek
sensorius,érzékelési
sensus,elöregedés
separandum,elválasztva
separationes liquorum corporis,testfolyadék rekeszek
sepsis,vérmérgezés
sepsis puerperalis,gyermekágyi vérmérgezés
Sept-,"Fal, sövény"
septotomia,septum bemetszése
séptum,rekeszizom
Septum,sövény
septum cordis,szívsövény
septum interventriculare,kamrai sövény
septum nasi,orrsövény
septum nasi osseum,csontos orrsövény
septus,sövényes
sequestratio,csontelhalás
Ser-,Savó
seropurulens,savós-gennyes
serpens,kúszó
Serratus,Fűrészes
serum,"szérum, savó"
serum lactis commune,közönséges tejsavó
sessilis,"mozdulatlan, ülő"
sexualis,nemi élettel kapcsolatos
sexus,"szexuális élet, nem"
shampoo,sampon
shigellosis,bacilláris dizentéria
Shy-Drager syndrome,Shy-Drager syndroma
Sial(o)-,Nyál
sialadenectomia,nyálmirigy műtéti eltávolítása
sialo-,nyál-
Sialodochoadenitis,Nyálmirigykivezetőcső-gyulladás
sialogen,nyálképző
sialolith,nyálkő
Sialolithiasis,nyálkövesség
siccus,kiszáradt
sidero-,vas-
sigmoiditis,szigmabél gyulladása
sigmoiditis chronica,krónikus szigmabélgyulladás
signum,jel
similis,hasonló
simplex,egyszerű
simulatio,színlelés
sinapis,mustár
sine,nélkül
sine morbo,betegség nélküli
sine morbo gynec.,nincs nőgyógyászati betegség
sine morbo mammae,nincs emlőbetegség
singularis,egyedüli
singultus,csuklás
singulus,magában álló
sinister,bal
